7, 5, 2
25, 37, 24
48, 54, 50
95, 75, 106
147, 9, 118
158, 148, 153
171, 172, 165
173, 109, 176
118, 151, 160
187, 189, 119
228, 200, 233
247, 36, 236
269, 267, 92
322, 302, 306
333, 48, 330
352, 347, 353
409, 80, 407
643, 438, 16
7, 649, 650
655, 658, 38
417, 429, 431
696, 67, 694
189, 711, 736
180, 33, 131
767, 763, 157
494, 63, 59
65, 813, 814
382, 521, 598
823, 820, 821
832, 130, 836
845, 851, 427
196, 12, 729
889, 885, 458
225, 6, 893
35, 896, 134
310, 380, 146
20, 903, 769
559, 80, 332
289, 65, 921
160, 936, 2
961, 959, 431
971, 458, 976
999, 1003, 998
71, 1023, 989
1050, 1043, 1053
431, 1061, 16
1094, 989, 1124
1217, 1215, 1212
1336, 1298, 1107
1690, 1108, 1649
451, 67, 320
1700, 0, 689
151, 1710, 1707
1714, 61, 1016
1716, 945, 1601
140, 160, 67
1765, 46, 1736
1811, 1784, 1877
115, 1919, 78
1926, 302, 389
979, 1944, 1517
2097, 140, 274
289, 915, 2049
2126, 1877, 75
225, 1504, 29
512, 1032, 769
1836, 753, 166
1009, 2158, 855
1539, 1628, 448
966, 301, 2173
75, 140, 322
1133, 1252, 117
283, 2153, 445
382, 1077, 675
431, 640, 2186
850, 176, 2190
772, 2226, 263
229, 36, 1225
2352, 891, 613
883, 1701, 1167
2386, 1014, 2387
2204, 424, 1213
2390, 568, 687
63, 108, 2393
2153, 569, 938
2431, 1310, 2428
230, 1229, 1601
1070, 322, 1759
2437, 107, 2442
315, 434, 2448
2052, 2480, 2451
1025, 494, 80
624, 2510, 2508
1736, 341, 785
419, 1791, 2524
180, 2294, 446
2539, 236, 553
2306, 2555, 2552
593, 1952, 23
2559, 586, 1005
1679, 1464, 267
21, 431, 603
151, 2589, 2282
559, 2092, 330
2011, 272, 459
102, 444, 1015
683, 120, 2610
93, 427, 144
33, 48, 216
1369, 993, 451
20, 67, 915
328, 663, 899
2479, 2674, 2703
2707, 1374, 1222
447, 2710, 2150
67, 2153, 903
1166, 2132, 0
1952, 2280, 595
140, 59, 505
966, 898, 611
2095, 252, 2759
1645, 2797, 2778
996, 2840, 130
37, 93, 1210
2965, 1949, 2963
0, 2216, 46
1643, 1315, 1635
1337, 581, 619
3002, 2937, 99
38, 2231, 67
408, 275, 612
980, 1070, 3026
1054, 1957, 1101
3032, 3037, 588
194, 18, 95
3060, 909, 1805
288, 325, 228
3107, 819, 380
230, 172, 11
829, 2678, 976
216, 1375, 3122
3126, 1146, 171
221, 557, 293
1969, 583, 263
1456, 3137, 2318
510, 160, 3149
369, 278, 234
15, 180, 74
227, 460, 3166
87, 1070, 2306
756, 154, 1615
839, 1877, 18
3238, 144, 32
283, 872, 109
851, 2039, 41
230, 442, 2180
2433, 2186, 34
3281, 1850, 113
3285, 2555, 2483
234, 80, 30
3290, 431, 3089
10, 1609, 867
107, 981, 101
630, 214, 146
503, 595, 875
321, 451, 322
80, 230, 873
1707, 1955, 2522
3340, 468, 595
3345, 424, 184
588, 1197, 60
3387, 1082, 1582
678, 1730, 9
586, 431, 96
320, 2270, 228
785, 1791, 1961
3420, 762, 68
220, 1969, 2095
434, 854, 1720
226, 1495, 3425
3175, 2835, 3427
2012, 268, 2421
112, 905, 327
1940, 1091, 372
1021, 1148, 1467
121, 932, 1650
966, 553, 1244
39, 16, 748
2, 431, 2076
301, 87, 2344
3502, 228, 3066
417, 996, 1402
317, 1695, 663
761, 20, 883
1937, 3535, 336
724, 429, 510
3538, 216, 66
3543, 427, 3541
1047, 67, 662
1054, 431, 245
435, 3550, 989
1240, 1984, 2519
229, 1966, 7
2150, 1988, 336
2745, 180, 11
236, 858, 3561
1881, 321, 235
60, 3214, 612
2793, 184, 680
972, 1079, 3573
6, 1310, 1460
960, 2334, 3594
3088, 0, 3599
440, 22, 510
216, 289, 2308
117, 929, 3606
623, 1881, 65
1182, 325, 1557
559, 67, 1059
68, 1137, 1090
1234, 1666, 933
883, 1742, 2653
3634, 3633, 3635
247, 1937, 65
285, 458, 286
21, 872, 435
1643, 1921, 1423
189, 93, 1310
194, 330, 3656
511, 757, 118
2555, 2801, 3666
589, 1903, 369
34, 1005, 966
75, 2190, 1079
291, 176, 327
2600, 252, 3320
2124, 1449, 853
2433, 445, 2727
2306, 1705, 919
77, 434, 1098
236, 67, 3684
2067, 307, 719
313, 2186, 3686
968, 3688, 3690
2552, 956, 2871
3539, 216, 1210
323, 11, 160
767, 1988, 3600
813, 2173, 293
126, 2424, 2190
2710, 2394, 3478
253, 616, 619
370, 683, 16
729, 989, 864
112, 944, 1607
230, 660, 3751
490, 67, 350
785, 3764, 1981
3769, 445, 1130
858, 1195, 3785
2720, 912, 1068
3789, 3791, 2154
1068, 1232, 360
688, 617, 2153
1225, 1266, 2025
1155, 765, 929
1890, 761, 109
326, 3808, 957
1142, 2245, 1966
538, 661, 2616
3660, 435, 577
197, 3798, 414
417, 431, 31
707, 100, 285
2684, 2448, 1653
61, 3124, 67
1148, 327, 1977
555, 18, 336
24, 662, 30
3388, 1220, 3859
118, 226, 464
510, 0, 876
48, 2730, 227
25, 966, 48
2546, 3649, 254
181, 1244, 268
661, 234, 293
1659, 508, 3504
814, 3879, 1501
619, 844, 3881
464, 597, 27
326, 1783, 92
21, 225, 2652
543, 3893, 136
1952, 348, 3895
113, 717, 247
2071, 2119, 613
278, 511, 591
3454, 3907, 757
476, 176, 326
912, 3336, 3969
963, 429, 662
3225, 1952, 1130
3975, 515, 348
1054, 1939, 1614
2002, 903, 3978
2162, 3007, 271
1544, 521, 3745
236, 3771, 20
3982, 1659, 1956
267, 2040, 266
869, 230, 45
3978, 764, 320
298, 206, 7
69, 2335, 933
3074, 283, 2140
67, 2442, 71
326, 417, 2190
1186, 7, 80
293, 593, 2062
4025, 547, 4006
1868, 3066, 1382
3163, 1006, 1033
1075, 553, 960
2600, 3580, 883
499, 292, 404
528, 98, 1186
322, 2766, 790
2265, 509, 597
2072, 981, 1729
69, 850, 1961
144, 1627, 1598
850, 1128, 382
645, 2408, 550
2180, 192, 966
279, 2904, 3010
3672, 11, 883
230, 252, 214
1312, 317, 247
104, 4116, 19
862, 2960, 4119
1268, 983, 612
695, 127, 712
4137, 541, 2077
511, 431, 247
37, 2579, 151
2637, 2560, 33
4141, 980, 1841
68, 1912, 72
989, 67, 93
19, 424, 1929
1463, 2623, 1018
591, 419, 3356
2290, 420, 4146
282, 2056, 445
186, 579, 6
2212, 347, 1784
4155, 146, 2186
3646, 131, 2278
247, 112, 905
1066, 4206, 4205
4207, 419, 1067
360, 322, 2969
290, 499, 435
2320, 1169, 4216
119, 360, 160
245, 911, 2223
791, 301, 1796
569, 111, 442
832, 601, 45
322, 4226, 3081
2153, 906, 3472
330, 283, 214
1181, 217, 4233
662, 305, 2622
703, 4235, 327
2336, 1021, 396
1267, 1501, 93
3402, 4241, 2612
263, 586, 630
0, 2455, 4245
872, 1400, 109
404, 1724, 1936
931, 4253, 2199
1501, 392, 586
1941, 404, 875
3966, 2721, 4256
543, 1240, 883
24, 851, 4258
1641, 293, 4201
1148, 326, 2819
16, 2162, 1063
3137, 511, 515
131, 330, 873
175, 689, 231
38, 214, 43
71, 28, 415
2336, 460, 4279
172, 155, 942
870, 2655, 767
230, 2777, 1981
2432, 840, 916
1936, 3545, 92
321, 996, 1504
393, 1100, 809
883, 1005, 180
3502, 93, 173
2069, 663, 2336
3146, 102, 67
689, 293, 1969
829, 2119, 1037
3974, 119, 1098
493, 976, 2095
2654, 360, 1720
77, 665, 63
182, 30, 1065
95, 67, 113
912, 260, 1460
1292, 510, 2195
1102, 1997, 3325
2712, 1752, 1969
434, 317, 350
765, 245, 813
87, 74, 38
1730, 254, 236
2717, 4357, 746
445, 322, 1019
1572, 2005, 1159
883, 2964, 192
4357, 4211, 3282
1031, 1279, 562
2076, 1136, 1988
3072, 4363, 2555
1988, 249, 4365
1261, 3818, 809
4381, 510, 1628
963, 281, 327
3747, 4386, 4273
2646, 4222, 1712
1021, 3121, 2
2069, 3695, 476
234, 304, 2511
37, 966, 199
617, 413, 254
1952, 36, 217
38, 4401, 1934
552, 11, 2184
510, 876, 67
850, 883, 1719
178, 1952, 3596
434, 2522, 588
1650, 1104, 1222
4423, 1504, 180
4426, 9, 445
1966, 1998, 155
2763, 323, 325
3249, 962, 4329
230, 2143, 678
883, 4432, 292
197, 4434, 4436
2134, 1186, 686
2069, 431, 510
731, 769, 851
16, 4438, 551
87, 1187, 535
640, 666, 429
189, 4447, 2416
4454, 1241, 331
1977, 180, 293
1871, 1147, 330
283, 970, 1053
4462, 40, 2181
498, 4465, 1237
290, 231, 662
311, 985, 1719
852, 864, 1470
77, 3201, 1778
2262, 1168, 144
503, 666, 629
1275, 230, 1187
1065, 45, 0
236, 2369, 0
431, 0, 1027
344, 229, 1400
4377, 470, 182
1988, 2593, 897
591, 1452, 2850
1555, 74, 2900
136, 2665, 4505
3069, 666, 875
420, 192, 2580
28, 174, 1467
228, 525, 336
67, 4509, 230
45, 382, 429
1225, 7, 326
871, 434, 852
271, 396, 80
1966, 219, 67
406, 326, 322
1546, 1929, 4516
956, 1054, 2595
613, 45, 3546
29, 1321, 72
4552, 1842, 1950
4155, 2390, 1128
1759, 1899, 2393
703, 552, 631
1703, 65, 956
1136, 1556, 1460
850, 494, 1926
45, 182, 67
360, 1373, 37
521, 599, 503
404, 360, 612
230, 501, 411
4600, 2124, 1666
926, 656, 2209
21, 80, 30
4603, 388, 3254
2483, 0, 93
155, 740, 1260
126, 1749, 3895
4607, 4356, 1070
2001, 4608, 2223
22, 4611, 1765
2634, 1659, 75
46, 353, 21
384, 2507, 532
612, 2781, 2546
3365, 1085, 120
960, 2088, 3617
3880, 4627, 1120
1899, 3482, 396
900, 3244, 1046
1053, 2425, 673
3627, 4633, 2275
499, 2202, 3717
2214, 1748, 1350
1063, 2549, 1367
2241, 141, 32
1764, 703, 1966
676, 178, 12
1067, 681, 89
1735, 321, 221
404, 488, 34
2546, 11, 73
2732, 912, 2015
65, 2509, 662
1703, 9, 263
267, 202, 4660
2740, 45, 480
625, 65, 1078
1058, 1847, 2149
3827, 151, 1141
4665, 966, 4411
2938, 3589, 143
209, 4685, 3287
2177, 1895, 325
4127, 417, 250
2732, 977, 422
77, 80, 326
767, 0, 2140
6, 100, 2637
1252, 595, 262
45, 703, 511
413, 44, 392
3408, 3046, 59
2248, 684, 330
760, 2162, 1725
3472, 1784, 906
319, 2595, 1088
9, 65, 234
267, 1430, 1382
1942, 1992, 267
2762, 2290, 2916
1764, 267, 1066
756, 521, 321
31, 1304, 4728
1563, 1136, 1611
328, 1906, 322
332, 3025, 18
2616, 277, 656
1054, 4738, 2602
404, 829, 1058
404, 69, 1668
177, 76, 668
126, 615, 915
2311, 2618, 427
3500, 1110, 852
2577, 515, 1016
708, 3090, 1756
404, 449, 844
1974, 6, 254
1019, 2052, 2749
883, 0, 703
131, 195, 3127
388, 112, 5
448, 1352, 262
274, 2136, 873
4470, 1705, 251
1267, 4761, 2329
229, 1091, 395
330, 2089, 2240
846, 3210, 851
1092, 4504, 4769
166, 1096, 464
9, 851, 591
37, 279, 814
1778, 2273, 4659
20, 665, 519
126, 136, 426
872, 1761, 3584
1784, 1054, 1250
1070, 704, 2413
459, 271, 3721
80, 718, 22
649, 435, 67
186, 3813, 234
1062, 397, 1042
3439, 1678, 104
389, 2055, 1268
216, 251, 515
3152, 2390, 499
4796, 2124, 203
2262, 221, 80
4726, 1010, 4765
623, 1756, 4804
529, 0, 67
43, 38, 140
1367, 4031, 41
118, 4805, 2173
574, 155, 572
4213, 3508, 3306
1246, 2320, 1350
2773, 1467, 4022
234, 2153, 541
1935, 769, 2443
2248, 1966, 185
